x, y
2.554531012647961452e-01,1.518117359445980696e-02
5.140088665063270446e-01,7.482080370073982412e-01
8.662448814735276281e-01,2.895230889701856380e-01
5.064590964313102628e-01,8.006746477416112340e-01
8.433329024348370506e-01,7.805202246006028854e-01
5.633253778023291636e-01,8.758856470755954637e-01
9.900230676489070181e-01,1.180961779423791436e-01
4.548389504679095641e-02,5.419847943614078956e-01
2.453627555125381665e-01,9.358513118201509107e-01
4.597497012222183654e-01,8.115119041846008408e-02
4.351124512216026918e-01,8.389437525836451748e-01
4.170146049779416275e-01,1.053752065971529372e-01
6.498838794965408061e-01,5.334747231205611007e-01
9.371984643405509852e-01,6.358293816183424596e-01
5.014067831501320960e-01,1.997089421093325434e-01
9.193833239815863978e-01,8.362760849933484897e-01
8.878316397063437115e-01,6.632380175613654671e-01
4.695353351054735169e-01,2.394037005252062089e-01
8.823902141142473399e-01,1.526780913403901208e-01
5.018899844837968471e-01,8.177058280924175415e-01
8.408918605204523944e-01,7.465270571645155062e-01
9.408928034397243678e-01,1.116359434741300838e-01
4.297424080887547460e-01,7.345321669252229402e-01
8.255165524500511776e-01,2.448578250012717339e-01
8.603569020550305702e-01,7.055984471350834619e-01
5.409830573948359866e-01,8.224166288298280225e-01
9.030197225937701688e-01,5.635209323040204499e-01
9.659841515127269851e-01,7.681671723647787164e-02
8.899904431084421086e-01,2.484809221822237291e-01
9.721397954301165267e-01,8.628750400741280746e-02
5.091538261359327411e-01,2.214468601930539293e-01
8.076069422215425009e-01,2.755143128491593929e-01
9.582495864241961092e-01,1.080613230433806748e-01
2.838030617397238053e-01,2.399532990617281314e-02
5.909204592048988847e-02,8.896540258681211455e-01
5.622819993539610595e-01,7.858675621048787363e-01
5.298858945479602012e-01,7.782965307720611792e-01
5.116357141888926430e-01,2.488144509224788914e-01
9.263889147627275555e-01,1.519591324182106851e-01
9.205961509584859037e-01,8.254734260288311143e-01
1.651731806932732471e-02,4.360002662744246749e-01
5.478073476584885970e-01,8.562118257770341412e-01
4.983484141155226643e-01,2.605868458215935268e-01
5.418473574923684533e-01,7.672247669108106516e-01
6.652154315524404504e-01,5.042861334312001009e-01
9.278122513076324518e-01,7.414669420069835981e-01
1.071502506095632912e-01,5.222164754433390454e-01
7.030779650295090333e-01,3.672527553400405376e-01
9.654792904359443817e-01,1.374852575699430091e-01
5.274125902614688055e-01,2.537459448848686794e-01
3.050402053893064291e-03,9.118447270452767484e-01
4.430469443477570435e-01,2.287102067980529840e-01
4.512594596954365711e-01,6.986714933655683302e-01
4.239241140276617248e-02,8.482246021715901252e-01
8.927119884761208768e-01,6.561130742376960479e-01
3.124908075991306156e-01,6.729589193984644169e-01
1.611188553667750600e-01,3.342201476964884455e-01
4.885946047820457494e-01,2.136131238710730074e-01
5.136023582615619754e-01,1.770235527909874707e-01
7.662953745048399767e-01,3.371317922596114292e-01
5.251594837406893257e-01,1.782803747795979055e-01
4.924817664037192122e-01,7.518586956490007633e-01
8.741483663779076041e-01,8.216135604431604733e-01
7.730238773113150552e-01,3.351955512670905524e-01
4.659473006522796279e-01,1.420043945751878756e-01
5.191513750213685441e-01,8.118453666153587767e-01
9.626048106642751678e-01,4.137975606041655041e-02
8.717312335456732786e-01,6.381890726558980820e-01
8.917523560612240496e-01,1.480279992315829407e-01
3.231139693953943848e-03,9.020912789111852348e-01
7.974668505296391707e-01,3.233180516987469444e-01
4.727687356433115662e-01,7.927707334773167469e-01
1.559459974677910310e-01,3.817347916910751593e-01
8.656897631618903910e-01,6.739298631004010387e-01
6.551680510769405386e-01,4.419877355089580906e-01
4.855255464939182142e-01,7.494204157686094048e-01
6.221353244437483054e-01,4.208659319401087950e-01
7.455131982851332939e-01,1.177647334891807063e-02
9.962153136068204740e-01,1.224541141177794001e-01
4.717578031967194496e-01,8.175679602045313743e-01
9.380425267874629158e-01,1.221417075327277946e-01
8.897451583606548198e-01,7.449140229621377118e-01
9.494738368032302755e-01,5.963854569411527473e-01
2.825302723483313905e-01,1.356911592559906232e-02
9.075307450465613934e-01,7.418838194310913847e-01
5.390310033001094459e-01,7.998701910394419023e-01
6.278534390765533324e-03,9.446630949148886458e-01
5.405731061818968008e-01,7.847496750249977060e-01
9.228701657076059384e-01,5.882719166452290427e-01
8.777769910170934997e-01,6.605000225266972613e-01
1.603254211222517878e-01,2.913820354713607674e-01
4.331446346601719455e-01,6.780566160108968399e-01
1.838098606233987686e-01,2.998921753989552963e-01
4.114984470642701897e-01,8.045813395416190339e-02
8.807936334245660692e-01,2.289947459379485517e-01
4.709514110106921558e-01,7.991995184033536814e-01
4.587845468231421808e-01,8.016356997369856741e-01
8.801555973709284109e-01,1.940356987048783566e-01
8.461999657552637943e-01,2.279475953920796494e-01
5.406819717342169485e-01,1.666645687637707818e-01
2.659493838061584015e-01,6.137305474870770050e-01
2.303721528919000505e-02,8.947477290696126406e-01
9.012520276181354983e-01,6.186300777652674610e-01
6.175918543597594956e-01,4.275263410029026545e-01
8.430273393373749480e-01,7.366259177331425656e-01
8.831305809025735698e-01,2.424288295101949542e-01
8.913805393980207548e-01,6.683416987129948694e-01
